id,nombre,descripcion,categoria,unidad_medida_default,fecha_alta,activo,marca,cantidad_por_unidad,,,,,Precio
164,Tutti Frutti Refresco,Por definir,Bebidas y Gaseosas,pieza,14/11/2025,t,Por definir,1,,,,,
165,Vainilla 500ml,Botella 500ml,Suministros,unidad,15/11/2025,t,Sayes,1,,,,,500ml 27 vainilla sayes 
166,Victoria,Por definir,Cerveza Comercial,24 Piezas,16/11/2025,t,Por definir,1,,,,,
167,Vinagre Blanco 1lt,Por definir,Especias y Condimientos,Lt,19/11/2025,t,Clemente,1,,,,,Clemente 18 1lt
168,Vinagre Manzana,Por definir,Especias y Condimientos,Lt,20/11/2025,t,Por definir,1,,,,,
169,Vino Caja Lt,Vino,Bebidas y Gaseosas,Lt,21/11/2025,t,Don Simón,1,,,,,
170,Cilantro,Por definir,Frutas y Verduras,Kg,22/11/2025,t,Por definir,1,,,,,
171,Ingredientes Molletes Sencillos,Por definir,Por definir,pieza,23/11/2025,t,Por definir,1,,,,,
172,Pollo Crudo (Pechuga),Por definir,Proteínas,Kg,24/11/2025,t,Por definir,1,,,,,123
173,Chicharrón Natural,tlalitos cortado ,Alimentos Preparados,Kg,25/11/2025,t,Por definir,1,,,,,
174,Maíz Palomero,Por definir,Especias y Condimientos,Kg,26/11/2025,t,Por definir,1,,,,,22
175,Finca las Moras Malbec,Vino,Bebidas y Gaseosas,6 Piezas,27/11/2025,t,Por definir,1,,,,,
176,Reservado Merlot,Vino,Bebidas y Gaseosas,pieza,29/11/2025,t,Por definir,1,,,,,
177,Reservado Rosado,Vino,Bebidas y Gaseosas,pza,30/11/2025,t,Por definir,1,,,,,
178,Promedio Vino,Por definir,Por definir,ml,2/12/2025,t,Por definir,1,,,,,
179,Ingrediente Promedio,Por definir,Por definir,Kg,3/12/2025,t,Por definir,1,,,,,
180,Champiñón Cocinado,Champiñones cocinados con especias,Alimentos Preparados,Kg,4/12/2025,f,Por definir,1,,,,,
181,Chileatole,Chileatole casero,Alimentos Preparados,Kg,5/12/2025,t,Por definir,1,,,,,
182,Refresco promedio,Por definir,Por definir,piezas,6/12/2025,t,Por definir,1,,,,,
183,Prefermento Temporada,Por definir,Por definir,ml,7/12/2025,t,Por definir,1,,,,,
184,Prefermento Carta,Por definir,Por definir,ml,8/12/2025,t,Por definir,1,,,,,
185,Prefermento Especial,Por definir,Por definir,ml,9/12/2025,t,Por definir,1,,,,,
186,Licor 96% ,"Licor de Caña de grado de 96% traido de Tlacotalpan, Ver.",Bebidas Artesanales,Lt,3/7/2025,t,Por definir,1,,,,,
187,Champiñones Cocinados,Champiñones cocinados en especias.,Alimentos Preparados,unidad,3/7/2025,t,Por definir,1,,,,,
188,Chorizo Argentino Cocinado,Chorizo argentino cocinado con especias.,Alimentos Preparados,unidad,3/7/2025,t,Por definir,1,,,,,
189,Agua Garrafón,Agua de garrafon,Bebidas y Gaseosas,unidad,3/7/2025,t,Por definir,1,,,,,
190,Agua Garrafón Extra,Garrafón extra caro,Bebidas y Gaseosas,unidad,3/7/2025,t,Por definir,1,,,,,
191,Tepache,Tepache preparado en casa.,Alimentos Preparados,Lt,3/7/2025,t,Por definir,1,,,,,
192,Contenedor Nachos Plástico,Contenedor Nachos Plástico,Desechables,unidad,3/7/2025,t,Por definir,1,,,,,
193,Jaleas de Tejocote,Hechas artesanalmente en el centro de Puebla. Compradas a granel en dulcerÃ­a del centro,Dulces,kg,3/7/2025,t,Por definir,1,,,,,
194,Chipiletas,,Dulces,unidad,3/7/2025,t,Por definir,1,,,,,
195,Internet,,Pagos,unidad,3/7/2025,t,Por definir,1,,,,,
196,"Agua, Drenaje y Saneamiento",,Pagos,unidad,3/7/2025,t,Por definir,1,,,,,
197,Refrendo Licencia de Funcionamiento,,Pagos,unidad,3/7/2025,t,Por definir,1,,,,,
198,Carpeta de Protección Civil,,Pagos,unidad,3/7/2025,t,Por definir,1,,,,,
199,Pulpa de Maracuyá,,Especias y Condimientos,Lt,3/7/2025,t,Por definir,1,,,,,
200,Chicharrón Chile y Cebolla,Tlalito cortado con chile y cebolla,Alimentos Preparados,kg,12/7/2025,t,Por definir,1,,,,,
202,Azucar Moscabado,Por definir,Especias y Condimientos,Kg,13/7/2025,t,Dominó,1,,,,,44 kg domino
203,Pulque de Punta,,Pulquería,Lt,13/7/2025,t,Por definir,1,,,,,
204,Coca-Cola Lata 355 Ml,Por definir,Bebidas y Gaseosas,Pieza,13/7/2025,t,Por definir,1,,,,,
205,Agua Mineral 2 Lts,Por definir,Bebidas y Gaseosas,Pieza,13/7/2025,t,Por definir,1,,,,,
206,Hidromiel,Por definir,Cerveza Artesanal,pieza,13/7/2025,t,Por definir,1,,,,,
207,Hidromiel de Café,Por definir,Cerveza Artesanal,pieza,13/7/2025,t,Por definir,1,,,,,
208,Mantarraya,Por definir,Cerveza Artesanal,pieza,13/7/2025,t,Por definir,1,,,,,
209,Agua de Garrafón con Envase,Por definir,Bebidas y Gaseosas,pieza,15/7/2025,t,Por definir,1,,,,,
210,Mezcal Canábico Mayoreo,Precio mayoreo,Mezcal,Lt,7/21/2025,t,Por definir,1,,,,,
211,Chistorra,Por definir,Proteínas,Kg,7/21/2025,t,Por definir,1,,,,,
212,Licor Blanco & Envase 50lts.,"Licor de Caña de grado de 96% traido de Mahuixtlán, Ver.",Bebidas Artesanales,Lt,7/24/2025,t,El Cañero,1,,,,,
213,Transporte de Insumos,Costo pagado por transportar insumos hacia EPN,Suministros,unidad,7/24/2025,t,Por definir,1,,,,,
214,Guantes Latex,Por definir,Limpieza,Pieza,7/24/2025,t,Genérico,1,,,,,
